"char_id","char_name","uni_id","uni_name","question","personality","avg_rating","rank","rating_sd","number_ratings"
"HP3","Hermione Granger","HP","Harry Potter","interesting/tiresome","interesting",82.7,201,21.3,336
"HP3","Hermione Granger","HP","Harry Potter","forward-thinking/stuck-in-the-past","forward-thinking",82.7,58,20.4,61
"HP3","Hermione Granger","HP","Harry Potter","genocidal/not genocidal","not genocidal",82.4,328,23.9,35
"HP3","Hermione Granger","HP","Harry Potter","empath/psychopath","empath",82.3,207,18.7,72
"HP3","Hermione Granger","HP","Harry Potter","main character/side character","main character",82.3,359,19.9,37
"HP3","Hermione Granger","HP","Harry Potter","cat person/dog person","cat person",82.1,96,23.5,38
"HP3","Hermione Granger","HP","Harry Potter","🎨/🏀","🎨",82.1,325,18.6,72
"HP3","Hermione Granger","HP","Harry Potter","demanding/unchallenging","demanding",81.9,447,24.1,88
"HP3","Hermione Granger","HP","Harry Potter","one-faced/two-faced","one-faced",81.7,276,23.2,81
"HP3","Hermione Granger","HP","Harry Potter","love-focused/money-focused","love-focused",81.5,412,21.3,45
"HP3","Hermione Granger","HP","Harry Potter","📈/📉","📈",81.4,35,27.7,135
"HP3","Hermione Granger","HP","Harry Potter","debased/pure","pure",81.2,138,17.4,390
"HP3","Hermione Granger","HP","Harry Potter","fast-talking/slow-talking","fast-talking",81.2,198,20,61
"HP3","Hermione Granger","HP","Harry Potter","backdoor/official","official",81.1,54,20.6,425
"HP3","Hermione Granger","HP","Harry Potter","💔/💝","💝",81.1,109,22.1,204
"HP3","Hermione Granger","HP","Harry Potter","loose/tight","tight",81,219,22.9,68
"HP3","Hermione Granger","HP","Harry Potter","highbrow/lowbrow","highbrow",80.9,105,20.4,370
"HP3","Hermione Granger","HP","Harry Potter","creepy/disarming","disarming",80.9,174,17.2,178
"HP3","Hermione Granger","HP","Harry Potter","angelic/demonic","angelic",80.8,198,18.2,368
"HP3","Hermione Granger","HP","Harry Potter","salacious/wholesome","wholesome",80.8,202,21.9,125
"HP3","Hermione Granger","HP","Harry Potter","proper/scandalous","proper",80.6,154,22.3,362
"HP3","Hermione Granger","HP","Harry Potter","frank/sugarcoated","frank",80.4,363,18.2,37
"HP3","Hermione Granger","HP","Harry Potter","skeptical/spiritual","skeptical",80.2,307,22.3,346
"HP3","Hermione Granger","HP","Harry Potter","🙅‍♂️/🙋‍♂️","🙋‍♂️",80.2,103,27.1,132
"HP3","Hermione Granger","HP","Harry Potter","imaginative/practical","practical",80,231,22.5,381
"HP3","Hermione Granger","HP","Harry Potter","intense/lighthearted","intense",80,413,19.3,53
"HP3","Hermione Granger","HP","Harry Potter","resigned/resistant","resistant",79.8,172,25.8,334
"HP3","Hermione Granger","HP","Harry Potter","introspective/not introspective","introspective",79.5,152,23.1,216
"HP3","Hermione Granger","HP","Harry Potter","believable/poorly-written","believable",79.5,395,24.5,36
"HP3","Hermione Granger","HP","Harry Potter","muddy/washed","washed",79.4,229,21.8,40
"HP3","Hermione Granger","HP","Harry Potter","high-tech/low-tech","high-tech",79.3,215,21.6,304
"HP3","Hermione Granger","HP","Harry Potter","hurried/leisurely","hurried",79.2,75,22.5,409
"HP3","Hermione Granger","HP","Harry Potter","plastic/wooden","wooden",79,160,20.4,58
"HP3","Hermione Granger","HP","Harry Potter","emotional/logical","logical",78.9,152,19.6,351
"HP3","Hermione Granger","HP","Harry Potter","proactive/reactive","proactive",78.9,12,24.8,40
"HP3","Hermione Granger","HP","Harry Potter","equitable/hypocritical","equitable",78.8,112,25.2,137
"HP3","Hermione Granger","HP","Harry Potter","complicated/simple","complicated",78.7,371,21.8,343
"HP3","Hermione Granger","HP","Harry Potter","cryptic/straightforward","straightforward",78.5,181,26.9,381
"HP3","Hermione Granger","HP","Harry Potter","👨‍🚀/🧙","🧙",78.5,128,28.7,183
"HP3","Hermione Granger","HP","Harry Potter","😇/😈","😇",78.4,229,20.2,149
"HP3","Hermione Granger","HP","Harry Potter","envious/prideful","prideful",78.3,225,22.4,85
"HP3","Hermione Granger","HP","Harry Potter","loveable/punchable","loveable",78.2,307,24.7,58
"HP3","Hermione Granger","HP","Harry Potter","literal/metaphorical","literal",78.1,100,24.4,359
"HP3","Hermione Granger","HP","Harry Potter","fixable/unfixable","fixable",78,68,23.7,39
"HP3","Hermione Granger","HP","Harry Potter","respectful/rude","respectful",77.5,388,22.1,399
"HP3","Hermione Granger","HP","Harry Potter","permanent/transient","permanent",77.3,106,24.4,143
"HP3","Hermione Granger","HP","Harry Potter","crazy/sane","sane",77.2,166,25.3,128
"HP3","Hermione Granger","HP","Harry Potter","indulgent/sober","sober",77.1,95,26.4,362
"HP3","Hermione Granger","HP","Harry Potter","cautious/impulsive","cautious",76.6,228,22.9,377
"HP3","Hermione Granger","HP","Harry Potter","generous/stingy","generous",76.6,344,22.5,71
"HP3","Hermione Granger","HP","Harry Potter","confident/insecure","confident",76.2,547,21.6,379
"HP3","Hermione Granger","HP","Harry Potter","outlaw/sheriff","sheriff",75.9,305,24.3,345
"HP3","Hermione Granger","HP","Harry Potter","factual/poetic","factual",75.7,268,30,68
"HP3","Hermione Granger","HP","Harry Potter","🥰/🙃","🥰",75.5,189,28,198
"HP3","Hermione Granger","HP","Harry Potter","mischievous/well behaved","well behaved",75.3,229,23.2,380
"HP3","Hermione Granger","HP","Harry Potter","armoured/vulnerable","armoured",75.2,411,22.6,313
"HP3","Hermione Granger","HP","Harry Potter","melee/ranged","ranged",75.2,59,25.9,42
"HP3","Hermione Granger","HP","Harry Potter","overspender/penny-pincher","penny-pincher",75,145,21.3,189
"HP3","Hermione Granger","HP","Harry Potter","conservative/liberal","liberal",75,363,28.9,152
"HP3","Hermione Granger","HP","Harry Potter","🎩/🧢","🎩",74.8,433,27.5,106
"HP3","Hermione Granger","HP","Harry Potter","ironic/profound","profound",74.7,104,28.5,73
"HP3","Hermione Granger","HP","Harry Potter","cunning/honorable","honorable",74.6,367,28.6,402
"HP3","Hermione Granger","HP","Harry Potter","fearmongering/reassuring","reassuring",74.4,321,22.3,41
"HP3","Hermione Granger","HP","Harry Potter","aloof/obsessed","obsessed",74.3,366,22.9,334
"HP3","Hermione Granger","HP","Harry Potter","abstract/concrete","concrete",74.3,263,27.8,139
"HP3","Hermione Granger","HP","Harry Potter","😏/😬","😏",74.1,306,28.7,139
"HP3","Hermione Granger","HP","Harry Potter","queer/straight","straight",74,723,29.9,165
"HP3","Hermione Granger","HP","Harry Potter","experimental/reliable","reliable",73.8,348,31.2,70
"HP3","Hermione Granger","HP","Harry Potter","decorative/utilitarian","utilitarian",73.7,337,26.9,116
"HP3","Hermione Granger","HP","Harry Potter","refined/rugged","refined",73.6,419,23.7,374
"HP3","Hermione Granger","HP","Harry Potter","objective/subjective","objective",73.6,61,25,88
"HP3","Hermione Granger","HP","Harry Potter","🐒/🐩","🐩",73.6,340,25,121
"HP3","Hermione Granger","HP","Harry Potter","emotional/unemotional","emotional",73.6,668,20.5,46
"HP3","Hermione Granger","HP","Harry Potter","👽/🤡","👽",73.5,209,21.8,137
"HP3","Hermione Granger","HP","Harry Potter","dispassionate/romantic","romantic",73.5,567,21.9,70
"HP3","Hermione Granger","HP","Harry Potter","dramatic/no-nonsense","no-nonsense",73.2,242,29.1,196
"HP3","Hermione Granger","HP","Harry Potter","cheesy/chic","chic",73.2,234,19.5,30
"HP3","Hermione Granger","HP","Harry Potter","hard-work/natural-talent","hard-work",73.1,360,29.5,103
"HP3","Hermione Granger","HP","Harry Potter","androgynous/gendered","gendered",73.1,1032,26.7,155
"HP3","Hermione Granger","HP","Harry Potter","bad-cook/good-cook","good-cook",72.9,172,21.8,54
"HP3","Hermione Granger","HP","Harry Potter","patriotic/unpatriotic","patriotic",72.8,473,26.2,139
"HP3","Hermione Granger","HP","Harry Potter","fortunate/unlucky","fortunate",72.8,175,21.8,340
"HP3","Hermione Granger","HP","Harry Potter","🤔/🤫","🤔",72.7,158,31,121
"HP3","Hermione Granger","HP","Harry Potter","doer/thinker","thinker",72.5,125,28.2,90
"HP3","Hermione Granger","HP","Harry Potter","attentive/interrupting","attentive",72.4,317,28.6,56
"HP3","Hermione Granger","HP","Harry Potter","captain/first-mate","captain",72.4,508,32.5,392
"HP3","Hermione Granger","HP","Harry Potter","old/young","young",72.3,724,25.4,328
"HP3","Hermione Granger","HP","Harry Potter","🥵/🥶","🥵",72.3,268,30.2,61
"HP3","Hermione Granger","HP","Harry Potter","always down/picky","picky",72.3,318,24.9,48
"HP3","Hermione Granger","HP","Harry Potter","comedic/dramatic","dramatic",72.3,643,23,76
"HP3","Hermione Granger","HP","Harry Potter","sage/whippersnapper","sage",72.2,154,32.8,56
"HP3","Hermione Granger","HP","Harry Potter","cynical/gullible","cynical",72.2,548,25.2,41
"HP3","Hermione Granger","HP","Harry Potter","frugal/lavish","frugal",72.1,306,22.6,358
"HP3","Hermione Granger","HP","Harry Potter","chill/offended","offended",72.1,412,24.9,63
"HP3","Hermione Granger","HP","Harry Potter","rap/rock","rock",72,859,23.3,44
"HP3","Hermione Granger","HP","Harry Potter","feminine/masculine","feminine",71.8,483,21.3,369
"HP3","Hermione Granger","HP","Harry Potter","triggered/trolling","triggered",71.8,347,21.5,45
"HP3","Hermione Granger","HP","Harry Potter","analysis/common sense","analysis",71.8,349,32.5,48
"HP3","Hermione Granger","HP","Harry Potter","flourishing/traumatized","flourishing",71.7,88,25.4,57
"HP3","Hermione Granger","HP","Harry Potter","edgy/politically correct","politically correct",71.6,241,29.5,351
"HP3","Hermione Granger","HP","Harry Potter","self-assured/self-conscious","self-assured",71.6,574,27.5,315
"HP3","Hermione Granger","HP","Harry Potter","flower child/goth","flower child",71.4,581,28.9,41
"HP3","Hermione Granger","HP","Harry Potter","air/earth","earth",71.4,379,30.7,85
"HP3","Hermione Granger","HP","Harry Potter","open to new experinces/uncreative","open to new experinces",71.3,782,26.7,395
"HP3","Hermione Granger","HP","Harry Potter","morning lark/night owl","morning lark",71.3,196,28.6,265
"HP3","Hermione Granger","HP","Harry Potter","accommodating/stubborn","stubborn",71.3,841,29.3,94
"HP3","Hermione Granger","HP","Harry Potter","preppy/punk rock","preppy",71.1,596,29.3,52
"HP3","Hermione Granger","HP","Harry Potter","astonishing/methodical","methodical",70.9,436,31.1,376
"HP3","Hermione Granger","HP","Harry Potter","genuine/sarcastic","genuine",70.8,438,28,341
"HP3","Hermione Granger","HP","Harry Potter","idealist/realist","realist",70.4,339,30.2,130
"HP3","Hermione Granger","HP","Harry Potter","🐀/🐘","🐘",70.3,256,29.6,209
"HP3","Hermione Granger","HP","Harry Potter","expressive/monotone","expressive",70.3,625,26.6,43
"HP3","Hermione Granger","HP","Harry Potter","chaste/lustful","chaste",70.2,219,22.5,326
"HP3","Hermione Granger","HP","Harry Potter","flamboyant/modest","modest",70.2,489,26.4,378
"HP3","Hermione Granger","HP","Harry Potter","autistic/neurotypical","neurotypical",70,734,28.8,370
"HP3","Hermione Granger","HP","Harry Potter","fighter/lover","fighter",69.9,400,26.3,68
"HP3","Hermione Granger","HP","Harry Potter","devout/heathen","devout",69.8,357,28.9,337
"HP3","Hermione Granger","HP","Harry Potter","flexible/rigid","rigid",69.5,457,26.1,302
"HP3","Hermione Granger","HP","Harry Potter","guarded/open","guarded",69.4,922,22.2,387
"HP3","Hermione Granger","HP","Harry Potter","trendy/vintage","vintage",69.3,785,24.4,75
"HP3","Hermione Granger","HP","Harry Potter","focused on the future/focused on the present","focused on the future",69.2,212,24.9,367
"HP3","Hermione Granger","HP","Harry Potter","geriatric/vibrant","vibrant",68.9,754,23.6,54
"HP3","Hermione Granger","HP","Harry Potter","luddite/technophile","technophile",68.6,313,28.3,272
"HP3","Hermione Granger","HP","Harry Potter","masochistic/pain-avoidant","pain-avoidant",68.6,173,26.4,49
"HP3","Hermione Granger","HP","Harry Potter","😀/😭","😀",68.5,370,24.8,150
"HP3","Hermione Granger","HP","Harry Potter","musical/off-key","musical",68.5,270,25.6,61
"HP3","Hermione Granger","HP","Harry Potter","🐮/🐷","🐮",67.9,226,25.2,188
"HP3","Hermione Granger","HP","Harry Potter","existentialist/nihilist","existentialist",67.8,378,26.6,94
"HP3","Hermione Granger","HP","Harry Potter","thick/thin","thin",67.7,557,27.8,275
"HP3","Hermione Granger","HP","Harry Potter","demure/vain","demure",67.6,344,25.4,308
"HP3","Hermione Granger","HP","Harry Potter","formal/intimate","formal",67.5,475,28.7,188
"HP3","Hermione Granger","HP","Harry Potter","🤑/🤠","🤠",67.5,660,28.6,122
"HP3","Hermione Granger","HP","Harry Potter","entitled/grateful","grateful",67.5,476,26,82
"HP3","Hermione Granger","HP","Harry Potter","French/Russian","French",67.4,461,28.2,52
"HP3","Hermione Granger","HP","Harry Potter","monochrome/multicolored","multicolored",67.2,415,30.7,96
"HP3","Hermione Granger","HP","Harry Potter","hard/soft","hard",67.1,627,22,342
"HP3","Hermione Granger","HP","Harry Potter","close-minded/open-minded","open-minded",67.1,620,27.3,414
"HP3","Hermione Granger","HP","Harry Potter","corporate/freelance","corporate",67.1,381,30.6,56
"HP3","Hermione Granger","HP","Harry Potter","🎃/💀","🎃",67,365,32,53
"HP3","Hermione Granger","HP","Harry Potter","kinky/vanilla","vanilla",66.7,455,26.8,366
"HP3","Hermione Granger","HP","Harry Potter","glad/mad","glad",66.7,359,25.6,110
"HP3","Hermione Granger","HP","Harry Potter","ferocious/pacifist","ferocious",66.5,743,28.3,328
"HP3","Hermione Granger","HP","Harry Potter","claustrophobic/spelunker","spelunker",66.5,515,27.1,48
"HP3","Hermione Granger","HP","Harry Potter","🐿/🦇","🐿",66.4,621,31.7,122
"HP3","Hermione Granger","HP","Harry Potter","feisty/gracious","feisty",66.4,866,27.2,325
"HP3","Hermione Granger","HP","Harry Potter","brave/careful","brave",66.2,767,27.6,360
"HP3","Hermione Granger","HP","Harry Potter","hard/soft","hard",66.1,651,22.6,98
"HP3","Hermione Granger","HP","Harry Potter","competitive/cooperative","competitive",66,830,30.4,314
"HP3","Hermione Granger","HP","Harry Potter","cold/warm","warm",66,677,24.8,349
"HP3","Hermione Granger","HP","Harry Potter","👻/🤖","🤖",66,361,28,120
"HP3","Hermione Granger","HP","Harry Potter","innocent/worldly","worldly",65.8,958,28.1,371
"HP3","Hermione Granger","HP","Harry Potter","flirtatious/prudish","prudish",65.6,373,21,35
"HP3","Hermione Granger","HP","Harry Potter","gamer/non-gamer","non-gamer",65.5,731,34.4,61
"HP3","Hermione Granger","HP","Harry Potter","moody/stable","stable",65.4,236,26.5,328
"HP3","Hermione Granger","HP","Harry Potter","forgiving/vengeful","forgiving",65.4,609,25.7,321
"HP3","Hermione Granger","HP","Harry Potter","mild/spicy","spicy",65.4,805,25.8,368
"HP3","Hermione Granger","HP","Harry Potter","chosen one/everyman","chosen one",65.3,560,32.6,44
"HP3","Hermione Granger","HP","Harry Potter","average/deviant","deviant",64.9,758,26.6,293
"HP3","Hermione Granger","HP","Harry Potter","domestic/industrial","industrial",64.6,432,27.9,82
"HP3","Hermione Granger","HP","Harry Potter","atheist/theist","atheist",64.6,702,31.5,90
"HP3","Hermione Granger","HP","Harry Potter","pretentious/unassuming","pretentious",64.5,648,28.5,144
"HP3","Hermione Granger","HP","Harry Potter","fire/water","fire",64.5,817,32.9,72
"HP3","Hermione Granger","HP","Harry Potter","gloomy/sunny","sunny",64.3,543,24.8,58
"HP3","Hermione Granger","HP","Harry Potter","contrarian/yes-man","contrarian",64.3,739,31.8,40
"HP3","Hermione Granger","HP","Harry Potter","complimentary/insulting","complimentary",64.2,683,25.1,99
"HP3","Hermione Granger","HP","Harry Potter","concise/long-winded","concise",64.1,450,34.1,39
"HP3","Hermione Granger","HP","Harry Potter","bitter/sweet","sweet",64.1,646,23.1,315
"HP3","Hermione Granger","HP","Harry Potter","arcane/mainstream","arcane",64,603,28.3,311
"HP3","Hermione Granger","HP","Harry Potter","manicured/scruffy","manicured",63.9,960,27.5,434
"HP3","Hermione Granger","HP","Harry Potter","pensive/serene","pensive",63.9,1008,28.6,61
"HP3","Hermione Granger","HP","Harry Potter","bourgeoisie/proletariat","proletariat",63.5,575,30.9,299
"HP3","Hermione Granger","HP","Harry Potter","Italian/Swedish","Swedish",63.5,430,27.8,44
"HP3","Hermione Granger","HP","Harry Potter","conspiracist/sheeple","conspiracist",63.2,845,29.6,255
"HP3","Hermione Granger","HP","Harry Potter","slovenly/stylish","stylish",63.1,889,27.6,378
"HP3","Hermione Granger","HP","Harry Potter","joyful/miserable","joyful",63.1,435,22,131
"HP3","Hermione Granger","HP","Harry Potter","naive/paranoid","paranoid",63.1,747,25.4,39
